0   2000
0.205452   2.29637   2.6232
0.238665   2.74007   0.474205
4.58852   0.294402   3.23032
4.11558   2.66276   6.1357
3.23022   2.80841   1.68919
0.405144   1.25685   5.43118
0.760893   2.06925   1.56252
2.56398   0.789028   0.964978
3.29553   2.92375   0.10071
5.81364   1.15982   3.05085
0.43129   2.74384   3.39245
8.21299   2.86506   5.40054
0.228829   0.225979   2.83678
1.05782   2.66639   3.59225
0.720932   1.29199   4.0191
8.10665   2.04335   0.307235
3.26713   2.60147   6.27572
2.47399   2.84025   1.24817
0.255881   2.38689   3.64903
0.599158   2.93083   6.07201
0.32731   1.33645   3.9088
8.72419   0.847046   1.4159
2.515   1.06088   1.10436
2.24328   2.79179   5.7877
6.39752   2.88367   2.76594
7.88192   1.15751   5.9893
3.03302   0.220197   5.23404
2.38448   2.84962   3.32685
3.03515   0.381353   2.92642
0.38216   0.363506   5.95113
0.63075   2.68562   0.435022
1.42044   0.226451   4.62138
0.66712   0.648856   1.16862
0.212628   2.28468   2.89197
3.57014   2.95182   0.0236935
4.89358   1.79505   6.26399
2.07716   0.308178   1.30454
1.12432   2.77947   2.49865
0.749702   0.269169   0.758576
5.65516   1.8633   2.1999
1.2688   2.4659   3.23114
0.33915   2.65222   0.706953
3.42419   1.28624   4.00259
0.525199   2.90918   3.45691
0.936864   0.293628   1.52551
1.88855   1.20541   0.737331
9.31907   0.202391   5.99384
2.75013   2.86158   5.39007
0.774615   1.79302   4.14523
4.1568   2.30374   3.17378
0.809161   2.51963   4.56447
6.51098   2.1818   0.0268452
7.36823   0.941519   5.14667
7.57381   2.60175   6.09001
0.571188   2.94801   2.33751
3.90932   2.82154   4.08966
0.432906   0.88758   2.84143
4.58781   0.325138   3.99718
8.32281   2.77972   3.96495
3.19831   1.11614   4.72326
0.77247   0.449386   3.61453
1.44439   2.64432   0.799359
1.46092   1.61519   5.98891
0.57958   2.41473   5.14747
3.45701   2.43131   3.78139
6.69272   2.52279   5.15987
4.98371   0.204739   5.58097
7.34739   0.296287   4.28487
1.57691   0.66697   2.00377
0.379343   0.259394   3.65131
1.08857   1.35861   4.08352
6.26206   1.2327   3.78605
8.46123   0.483025   1.83075
0.707384   2.90213   6.18003
3.80801   2.40027   3.91107
0.247448   1.1402   1.78917
8.70649   2.52896   0.60326
6.19734   1.48012   2.52593
2.08125   2.93766   4.94679
2.38357   2.44832   1.03767
1.43268   1.12461   2.78549
0.711158   1.10535   3.70774
8.15221   0.846419   2.25053
7.10007   1.46848   0.841915
0.818619   0.651691   5.15308
1.32042   0.726452   0.236797
6.31504   2.92577   0.0661655
3.04588   1.29102   0.731173
0.922765   0.228279   0.121621
2.67365   1.97404   5.98858
9.2848   0.43926   3.65135
7.55324   1.94359   2.94588
0.554625   2.64636   2.03824
9.74542   0.803817   4.59785
5.55987   1.14418   3.26954
5.64319   1.4908   4.72354
0.882083   2.73333   3.33791
7.24617   0.500058   3.60173
2.23666   0.543167   1.55641
1.92531   0.185585   5.94235
1.35527   2.88924   3.70441
7.07356   2.82461   3.29434
6.55662   0.680599   1.12222
6.39089   0.773968   5.19358
4.32777   2.53637   0.161542
2.84081   0.693838   4.47191
1.84206   0.968138   4.84202
6.13036   2.73896   2.80207
0.465995   1.78058   0.161521
2.24794   1.91523   3.60577
8.34028   1.66592   1.77197
0.472272   1.82282   5.39764
4.44172   0.7596   4.54612
3.65862   2.7442   3.32059
5.05094   2.83695   5.2295
0.476167   1.15295   3.76362
0.564053   1.03785   1.94005
3.37128   2.64964   6.11169
0.202698   2.18095   5.36444
2.04678   0.662799   2.92665
1.56497   0.919051   3.78859
3.58763   2.1945   5.592
2.53826   0.413142   0.598276
2.64424   2.80885   5.45936
5.95445   1.85188   3.86223
0.870944   1.77014   0.919885
0.318466   2.93526   5.45998
1.34412   0.38822   0.949492
1.20431   0.56953   3.34506
0.337951   2.76858   2.16407
1.40618   0.52813   2.64832
2.46914   2.54174   0.0713682
9.76733   0.600588   3.09993
1.82685   0.524516   1.30206
0.74272   2.73572   0.289764
0.496938   0.321445   4.81492
1.42019   0.731365   6.21454
5.1022   1.08268   4.21853
